"","call_detail","call_group","call_source","civil_age","civil_age_f","civil_drug","civil_etoh","civil_id","civil_instance","civil_mental","civil_race","civil_sex","civil_transient","force1","force2","force3","force4","force5","force6","force7","force8","force1_any","force2_any","force3_any","force4_any","force5_any","force6_any","force7_any","force8_any","force_officer_sum","incid_force_lev","incid_force_calc","incid_day","incid_disp","incid_id","incid_month","incid_sixhour","incid_year","officer_id","officer_precinct","officer_precinct_collapsed","officer_tenure","officer_tenure_f","resist1","resist2","resist3","resist4","resist5","resist6","resist7","resist8","threat_biohaz","threat_blunt","threat_gun","threat_gun_implied","threat_gun_replica","threat_knife","threat_other","threat_unused_weapon","threat_unarmed","threat_sum","recordcount_1","recordcount_2"
"5077","WELFARE CHECK - COLD","Welfare Check","Dispatched",33,"25-34","1","0",495112,787033337,"1","Asian","Male","Yes","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Saturday","Release to Medical",786538225,"July","0600-1159",2019,741820,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5078","TRIMET INCIDENT - PRIORITY","TriMet","Dispatched",33,"25-34","1","0",289752,277826902,"1","Black","Male","No","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Monday","Arrest-Misdemeanor",277537150,"May","0600-1159",2019,971440,"Transit (PPB Only)","Transit",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5079","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",33,"25-34","1","0",388795,478925567,"0","White","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Warrant",478536772,"April","0600-1159",2019,749120,"East Precinct","East Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5080","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",33,"25-34","1","0",423873,176963162,"0","White","Male","No","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Misdemeanor",176539289,"October","1200-1759",2019,715011,"Central Precinct","Central Precinct",13,"(10-15]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5081","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",34,"25-34","1","0",388131,276943901,"0","Black","Female","No","Control Against Resistance","Takedown (II and III)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Sunday","Arrest-Felony",276555770,"January","1800-2359",2021,1056249,"East Precinct","East Precinct",13,"(10-15]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5082","FOLLOW-UP","Other","Dispatched",34,"25-34","0","0",460036,954016103,"0","Hispanic","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Thursday","Arrest-Felony",953556067,"February","1800-2359",2021,366981,"Central Precinct","Central Precinct",13,"(10-15]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5083","AREA CHECK","Area/Premise Check","Dispatched",34,"25-34","1","0",384474,279930634,"0","White","Male","Yes","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Tuesday","Release to Medical",279546160,"February","1200-1759",2020,843230,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5084","ECIT","Behavioral Health","Dispatched",34,"25-34","1","1",289752,223845632,"0","Black","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Warrant",223555880,"January","1200-1759",2021,593300,"North Precinct","North Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"5085","DISTURBANCE - PRIORITY","Disturbance","Dispatched",34,"25-34","0","0",565928,415104800,"1","White","Male","No","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Sunday","Release to Medical",414538872,"September","0600-1159",2019,1062150,"North Precinct","North Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,1,1
"5086","ECIT","Behavioral Health","Dispatched",34,"25-34","1","0",4020140,856556546,"0","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Wednesday","Arrest-Felony",852536406,"March","1200-1759",2019,504690,"Central Precinct","Central Precinct",13,"(10-15]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,2,1,1
"5087","SHOOTING - WITH WEAPON *H","Assault","Dispatched",35,"35-49","1","0",460563,407017204,"0","White","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Saturday","Arrest-Felony",406556641,"April","1800-2359",2021,287270,"North Precinct","North Precinct",13,"(10-15]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,2,1,1
"5088","DETAIL","Other","Self-Initiated",35,"35-49","0","0",534195,669072079,"0","White","Male","Yes","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Tuesday","Arrest-Warrant",668537884,"July","0600-1159",2019,748120,"Transit (PPB Only)","Transit",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5089","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",35,"35-49","1","0",507396,623065570,"1","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Tuesday","Release to Medical",622558174,"September","1200-1759",2021,193360,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5090","ECIT","Behavioral Health","Dispatched",35,"35-49","0","0",4018104,887564620,"0","White","Male","Yes","Takedown (II and III)","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Wednesday","Arrest-Felony",883546516,"March","1200-1759",2020,972240,"Central Precinct","Central Precinct",13,"(10-15]","Aggressive","Active","Aggressive",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5091","UNWANTED PERSON - WITH WEAPON *H","Unwanted Person","Dispatched",35,"35-49","0","0",620822,396176993,"0","Black","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Misdemeanor",395556171,"February","1200-1759",2021,678310,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"5092","911 HANGUP","Disorder","Dispatched",35,"35-49","0","0",465560,185022649,"0","White","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Release to Medical",184557089,"May","1800-2359",2021,472290,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5093","DISTURBANCE - PRIORITY","Disturbance","Dispatched",35,"35-49","1","0",3905948,93462766,"1","White","Female","Yes","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Wednesday","Release to Medical",89556818,"April","1200-1759",2021,472290,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5094","TRAFFIC STOP","Traffic Stop","Self-Initiated",36,"35-49","0","0",496229,632035303,"0","Hispanic","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Tuesday","Arrest-Misdemeanor",631539074,"October","1800-2359",2019,746120,"East Precinct","East Precinct",13,"(10-15]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5095","TRAFFIC STOP","Traffic Stop","Self-Initiated",36,"35-49","0","0",496229,632035303,"0","Hispanic","Male","No","Resisted HC","Takedown (II and III)","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,1,1,1,1,0,0,0,0,4,"II","3","Tuesday","Arrest-Misdemeanor",631539074,"October","1800-2359",2019,561699,"Traffic","Traffic",13,"(10-15]","Aggressive","Aggressive","Aggressive","Aggressive",NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5096","ASSAULT - PRIORITY","Assault","Dispatched",36,"35-49","1","0",415383,63972151,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Friday","Arrest-Felony",63556768,"April","1200-1759",2021,952439,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"5097","DETAIL","Other","Self-Initiated",36,"35-49","0","0",3849349,906388415,"0","White","Female","Yes","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Tuesday","Cite and Release",902539066,"October","0600-1159",2019,971440,"Transit (PPB Only)","Transit",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"5098","UNWANTED PERSON","Unwanted Person","Dispatched",36,"35-49","0","0",3633598,300171238,"0","Black","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Misdemeanor",296537640,"June","0600-1159",2019,340880,"Central Precinct","Central Precinct",13,"(10-15]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5099","ECIT","Behavioral Health","Dispatched",36,"35-49","1","0",301888,576847611,"0","Black","Male","No","Less Lethal","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"II","3","Saturday","Release to Medical",576545723,"January","1800-2359",2020,551100,"East Precinct","East Precinct",13,"(10-15]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,1,1
"5100","DISTURBANCE - PRIORITY","Disturbance","Dispatched",37,"35-49","1","0",292515,766849760,"0","Asian","Male","No","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Wednesday","Arrest-Felony",766557245,"June","1800-2359",2021,191360,"East Precinct","East Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,1,1
"5101","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",37,"35-49","1","0",411449,998957546,"0","Black","Male","Yes","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Thursday","Arrest-Felony",998546097,"February","0600-1159",2020,439190,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5102","THEFT - SUBJECT IN CUSTODY","Theft","Dispatched",37,"35-49","1","0",275010,50821478,"0","White","Male","Yes","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Saturday","Release to Medical",50546468,"March","1200-1759",2020,808220,"North Precinct","North Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5103","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",37,"35-49","1","0",3818083,782355398,"0","White","Male","Yes","Control Against Resistance","Takedown (IV)","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Sunday","Release to Medical",778537315,"May","0600-1159",2019,789020,"Central Precinct","Central Precinct",13,"(10-15]","Aggressive","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5104","ASSIST - CITIZEN OR AGENCY","Assist","Dispatched",37,"35-49","0","0",1098236,290633986,"1","White","Female","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Release to Medical",289535750,"January","0600-1159",2019,434090,"Family Services","Other",13,"(10-15]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5105","DISTURBANCE - PRIORITY","Disturbance","Dispatched",37,"35-49","1","0",522506,908068372,"0","Black","Female","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Felony",907545866,"January","1200-1759",2020,439190,"Central Precinct","Central Precinct",13,"(10-15]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5106","PERSON CONTACT (86)","Subject Stop","Self-Initiated",38,"35-49","0","0",331403,61878651,"0","Black","Male","No","Control Against Resistance","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Wednesday","Arrest-Felony",61547248,"May","0600-1159",2020,439190,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5107","WELFARE CHECK - COLD","Welfare Check","Dispatched",38,"35-49","1","0",3469981,416025803,"1","White","Male","Yes","Resisted HC","Takedown (II and III)","Control Against Resistance","Resisted HC",NA,NA,NA,NA,1,1,1,1,0,0,0,0,4,"III","2","Saturday","Arrest-Felony",412555822,"January","0600-1159",2021,972240,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active","Active","Active",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"5108","THEFT - COLD","Theft","Dispatched",38,"35-49","0","0",598611,881136927,"0","Black","Female","Yes","Control Against Resistance","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Saturday","Arrest-Warrant",880538316,"August","0600-1159",2019,749120,"East Precinct","East Precinct",13,"(10-15]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5109","ASSAULT - PRIORITY","Assault","Dispatched",38,"35-49","1","0",1742981,838279407,"1","White","Female","No","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Friday","Arrest-Misdemeanor",836536426,"March","1200-1759",2019,741820,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5110","WELFARE CHECK - COLD","Welfare Check","Dispatched",38,"35-49","1","0",405226,479951518,"0","White","Male","No","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Felony",479546292,"February","0600-1159",2020,744120,"North Precinct","North Precinct",13,"(10-15]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5111","DETAIL","Other","Self-Initiated",39,"35-49","1","0",620819,204158158,"0","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Tuesday","Arrest-Misdemeanor",203537339,"May","0600-1159",2019,748120,"Transit (PPB Only)","Transit",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5112","UNWANTED PERSON","Unwanted Person","Dispatched",39,"35-49","0","0",421771,430970893,"0","Black","Male","Yes","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Wednesday","Arrest-Misdemeanor",430549122,"November","0000-0559",2020,378280,"Central Precinct","Central Precinct",13,"(10-15]","Aggressive","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"5113","ECIT","Behavioral Health","Dispatched",39,"35-49","0","1",577708,68123516,"1","White","Male","No","Control Against Resistance","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Sunday","Release to Medical",67545808,"January","0000-0559",2020,715011,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5114","THREAT - PRIORITY","Threat","Dispatched",39,"35-49","0","0",3497639,138046888,"1","White","Female","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Felony",134549249,"December","1800-2359",2020,976240,"Central Precinct","Central Precinct",13,"(10-15]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5115","WELFARE CHECK - COLD","Welfare Check","Dispatched",40,"35-49","1","0",3981252,709537006,"0","White","Male","Yes","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Saturday","Arrest-Misdemeanor",705555754,"January","0600-1159",2021,972240,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5116","ECIT","Behavioral Health","Dispatched",40,"35-49","0","1",505121,658052615,"1","Hispanic","Female","No","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Tuesday","Release to Medical",657547494,"June","1800-2359",2020,976240,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5117","AREA CHECK","Area/Premise Check","Dispatched",40,"35-49","0","0",414032,930951209,"0","Black","Male","Yes","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Wednesday","Arrest-Warrant",930537177,"May","1200-1759",2019,789020,"Central Precinct","Central Precinct",13,"(10-15]","Active","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5118","DISTURBANCE - PRIORITY","Disturbance","Dispatched",40,"35-49","1","1",484076,183022025,"0","White","Male","Yes","Control Against Resistance","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Saturday","Arrest-Felony",182537949,"July","1800-2359",2019,551100,"East Precinct","East Precinct",13,"(10-15]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5119","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",40,"35-49","0","0",532789,980069486,"0","Black","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Felony",979536697,"March","1200-1759",2019,427089,"TOD","TOD",13,"(10-15]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,1,1
"5120","VEHICLE RECOVERED","Stolen Vehicle","Self-Initiated",41,"35-49","0","0",265010,76810708,"0","White","Male","Yes","CHWI",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Thursday","Arrest-Warrant",76545698,"January","1200-1759",2020,228170,"North Precinct","North Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5121","FLAGDOWN","Other","Dispatched",41,"35-49","0","0",3572715,760109460,"0","Black","Female","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Warrant",756536745,"April","0600-1159",2019,340880,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5122","UNWANTED PERSON","Unwanted Person","Dispatched",41,"35-49","0","0",614867,955150584,"0","White","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Misdemeanor",954535717,"January","1200-1759",2019,1020040,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5123","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",41,"35-49","0","1",485389,795022594,"0","White","Male","Yes","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Friday","Arrest-Misdemeanor",794537205,"May","1200-1759",2019,1020040,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5124","UNWANTED PERSON","Unwanted Person","Dispatched",42,"35-49","0","1",3944692,142481341,"0","Native American","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Misdemeanor",138536649,"March","1200-1759",2019,789020,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5125","ECIT","Behavioral Health","Dispatched",42,"35-49","1","0",370228,791916883,"0","Black","Male","Yes","CEW","CEW","CEW",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"II","3","Tuesday","Arrest-Felony",791546655,"March","1200-1759",2020,176260,NA,NA,13,"(10-15]","Aggressive","Aggressive","Aggressive",NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,1,1
"5126","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Dispatched",42,"35-49","0","0",367306,878903872,"1","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Wednesday","Arrest-Felony",878536566,"March","1200-1759",2019,639010,"Detectives","Other",13,"(10-15]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,2,1,1
"5127","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Self-Initiated",43,"35-49","0","0",240251,631786555,"0","White","Male","Yes","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Cite and Release",631546304,"February","0000-0559",2020,744120,"North Precinct","North Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5128","ECIT","Behavioral Health","Dispatched",43,"35-49","0","0",728372,449275854,"1","Black","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Monday","Release to Medical",448547482,"June","1200-1759",2020,233170,"North Precinct","North Precinct",13,"(10-15]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5129","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",43,"35-49","0","0",4002660,506542162,"1","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Wednesday","Release to Medical",502539502,"November","0600-1159",2019,340880,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5130","ASSAULT - COLD","Assault","Dispatched",43,"35-49","0","0",503254,495039666,"0","Native American","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Misdemeanor",494536412,"March","0600-1159",2019,340880,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5131","UNWANTED PERSON","Unwanted Person","Dispatched",43,"35-49","1","0",454369,919001116,"0","White","Male","Yes","Control Against Resistance","Strikes/kicks","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Thursday","Arrest-Misdemeanor",918546747,"April","0600-1159",2020,950240,"East Precinct","East Precinct",13,"(10-15]","Active","Aggressive","Active",NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,1,1
"5132","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Dispatched",44,"35-49","0","0",841214,299379984,"0","White","Male","Yes","Control Against Resistance","Control Against Resistance","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,1,1,1,1,0,0,0,0,4,"II","3","Saturday","Arrest-Felony",298538770,"September","1200-1759",2019,227170,"North Precinct","North Precinct",13,"(10-15]","Active","Aggressive","Active","Active",NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5133","DISTURBANCE - PRIORITY","Disturbance","Dispatched",44,"35-49","0","0",4100258,406646399,"1","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Release to Medical",402546141,"February","1800-2359",2020,228170,"North Precinct","North Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5134","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Dispatched",44,"35-49","0","0",156784,481705196,"0","White","Male","Yes","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Misdemeanor",481548412,"September","0600-1159",2020,379280,"East Precinct","East Precinct",13,"(10-15]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5135","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",45,"35-49","1","1",378375,224915505,"1","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Release to Medical",224537130,"May","1800-2359",2019,536699,"East Precinct","East Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
